name,visited,rating,href,Mon,Tue,Wed,Thu,Fri,Sat,Sun,latitude,longitude
The Laundromat,false,4.6 ,/biz/the-laundromat-san-francisco?osq=Restaurants,Closed,Closed,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,8:00 AM - 2:00 PM,9:00 AM - 2:00 PM,37.775429,-122.498842
Memento SF,false,5.0 ,/biz/memento-sf-san-francisco-3?osq=Restaurants,Closed,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,37.751055,-122.433798
Ben Thai Cafe,false,4.4 ,/biz/ben-thai-cafe-san-francisco?osq=Restaurants,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:30 PM,37.789227,-122.420563
Cha Cha Cha,false,3.9 ,/biz/cha-cha-cha-san-francisco-4?osq=Restaurants,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,37.769143,-122.45204
Roma Antica,false,4.5 ,/biz/roma-antica-san-francisco-3?osq=Restaurants,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,37.799872,-122.440969
Fermentation Lab,false,4.9 ,/biz/fermentation-lab-san-francisco-3?osq=Restaurants,Closed,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,37.78571,-122.430036
The Snug,false,4.0 ,/biz/the-snug-san-francisco?osq=Restaurants,Closed,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),Closed,37.790835,-122.434437
Marufuku Ramen,false,4.4 ,/biz/marufuku-ramen-san-francisco-5?osq=Restaurants,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,37.785143,-122.431634
Savor,false,4.7 ,/biz/savor-san-francisco-7?osq=Restaurants,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,37.764083,-122.462226
Bottega,false,4.3 ,/biz/bottega-san-francisco-2?osq=Restaurants,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 11:00 PM,37.75472,-122.4212
little shucker,false,4.7 ,/biz/little-shucker-san-francisco?osq=Restaurants,Closed,Closed,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,37.788251,-122.433532
Kuker,false,4.8 ,/biz/kuker-san-francisco-2?osq=Restaurants,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,37.827325,-122.374024
Dumpling Home,false,4.5 ,/biz/dumpling-home-san-francisco?osq=Restaurants,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,37.775831,-122.422636
The Tailor’s Son,false,4.2 ,/biz/the-tailors-son-san-francisco?osq=Restaurants,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 9:00 PM,37.788611,-122.43405
Pearl,false,4.4 ,/biz/pearl-san-francisco-8?osq=Restaurants,Closed,5:00 PM - 9:15 PM,5:00 PM - 9:15 PM,5:00 PM - 9:15 PM,5:00 PM - 9:15 PM,5:00 PM - 9:15 PM,5:00 PM - 9:15 PM,37.783839,-122.483083
Otra,false,4.5 ,/biz/otra-san-francisco-3?osq=Restaurants,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,37.771928,-122.433475
Dumpling Story,false,4.7 ,/biz/dumpling-story-san-francisco?osq=Restaurants,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,11:30 AM - 2:15 PM,37.789307,-122.433806
Katsuo + Kombu,false,4.5 ,/biz/katsuo-kombu-san-francisco?osq=Restaurants,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,Closed,37.774801,-122.437985
Lokma,false,4.6 ,/biz/lokma-san-francisco?osq=Restaurants,4:00 PM - 8:30 PM,4:00 PM - 8:30 PM,4:00 PM - 8:30 PM,10:00 AM - 2:30 PM,10:00 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,37.782186,-122.478677
Oodle Yunnan Rice Noodle,false,4.7 ,/biz/oodle-yunnan-rice-noodle-san-francisco?osq=Restaurants,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,37.776005,-122.495635
Bento Peak,false,4.6 ,/biz/bento-peak-san-francisco?osq=Restaurants,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,4:30 PM - 9:30 PM,12:00 PM - 9:30 PM,12:00 PM - 9:30 PM,37.781089,-122.470207
Starbelly,false,3.8 ,/biz/starbelly-san-francisco?osq=Restaurants,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,37.764075,-122.432572
Wooden Spoon,false,4.4 ,/biz/wooden-spoon-san-francisco?osq=Restaurants,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,37.766616,-122.43041
NONO,false,4.4 ,/biz/nono-san-francisco?osq=Restaurants,5:00 PM - 10:00 PM,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 12:00 AM (Next day),5:00 PM - 12:00 AM (Next day),5:00 PM - 10:00 PM,37.785686,-122.432903
Mattina,false,4.0 ,/biz/mattina-san-francisco?osq=Restaurants,Closed,Closed,Closed,8:00 AM - 3:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,37.787223,-122.434152
Lily,false,4.3 ,/biz/lily-san-francisco?osq=Restaurants,5:00 PM - 9:00 PM,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,37.782853,-122.461696
Kothai Republic,false,4.7 ,/biz/kothai-republic-san-francisco?osq=Restaurants,Closed,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:30 PM - 9:30 PM,5:00 PM - 10:00 PM,11:00 AM - 2:00 PM,12:00 PM - 8:00 PM,37.762327,-122.466044
